Area,Year,Pop,Year,Recruitment_Mean,Recruitment CV,RecruitReliability,n-Recruitment,Surv Mean,Surv_CV,SurvReliability,Lambda_Mean,Lambda_CV,LambdaReliability,n-Recruitment,n-KM
Cold Lake (AB&SK),1997,CLBOTH,1997,,,,,,,,,,,,
Cold Lake (AB&SK),1998,CLBOTH,1998,0.149,0.079,TRUE,,,,FALSE,,,FALSE,47,0
Cold Lake (AB&SK),1999,CLBOTH,1999,0.083,0.156,TRUE,,0.925,0.046,TRUE,1.008,0.049,TRUE,47,40
Cold Lake (AB&SK),2000,CLBOTH,2000,0.073,0.184,TRUE,,0.881,0.06,TRUE,0.951,0.062,TRUE,40,42
Cold Lake (AB&SK),2001,CLBOTH,2001,0.044,0.258,TRUE,,0.898,0.058,TRUE,0.939,0.058,TRUE,39,37
Cold Lake (AB&SK),2002,CLBOTH,2002,0.079,0.17,TRUE,,0.886,0.057,TRUE,0.962,0.059,TRUE,44,44
Cold Lake (AB&SK),2003,CLBOTH,2003,,,FALSE,,,,FALSE,,,FALSE,,
Cold Lake (AB&SK),2004,CLBOTH,2004,0.085,0.158,TRUE,,0.872,0.06,TRUE,0.954,0.062,TRUE,46,47
Cold Lake (AB&SK),2005,CLBOTH,2005,0.03,0.338,TRUE,,0.955,0.034,TRUE,0.985,0.035,TRUE,16,45
Cold Lake (AB&SK),2006,CLBOTH,2006,0.065,0.219,TRUE,,0.804,0.086,TRUE,0.861,0.088,TRUE,32,41
Cold Lake (AB&SK),2007,CLBOTH,2007,0.082,0.232,TRUE,,0.876,0.071,TRUE,0.954,0.075,TRUE,33,32
Cold Lake (AB&SK),2008,CLBOTH,2008,0.042,0.215,TRUE,,0.791,0.085,TRUE,0.828,0.084,TRUE,39,48
Cold Lake (AB&SK),2009,CLBOTH,2009,0.041,0.194,TRUE,,0.701,0.111,TRUE,0.733,0.11,TRUE,36,50
Cold Lake (AB&SK),2010,CLBOTH,2010,0,0,TRUE,,0.848,0.069,TRUE,0.849,0.066,TRUE,35,47
Cold Lake (AB&SK),2011,CLBOTH,2011,0.006,0.55,TRUE,,0.79,0.095,TRUE,0.795,0.095,TRUE,30,39
Cold Lake (AB&SK),2012,CLBOTH,2012,0.008,0.477,TRUE,,0.844,0.066,TRUE,0.85,0.066,TRUE,40,51
Cold Lake (AB&SK),2013,CLBOTH,2013,0.031,0.246,TRUE,,0.909,0.052,TRUE,0.937,0.05,TRUE,65,43
Cold Lake (AB&SK),2014,CLBOTH,2014,0.005,0.591,TRUE,,0.805,0.072,TRUE,0.809,0.073,TRUE,44,52
Cold Lake (AB&SK),2015,CLBOTH,2015,0.015,0.4,TRUE,,0.86,0.058,TRUE,0.874,0.058,TRUE,39,58
Cold Lake (AB&SK),2016,CLBOTH,2016,0.046,0.295,TRUE,,0.912,0.048,TRUE,0.956,0.05,TRUE,31,47
