Area,Year,,S (km est),R (calf:cow),R/2 (female calves:cow),Rrm (X/2/(1-X/2)),Lambda (S/(1-R/2)),Lambda(S/(1-Rrm)),From Report 1,n_survival,n_composition,N_composition
South Slave (Hay River Lowlands),2003,,NA,NA,,,,,,,,
South Slave (Hay River Lowlands),2004,,NA,0.18,0.09,0.0826,NA,NA,0.834,17,,
South Slave (Hay River Lowlands),2005,,0.903,0.221,0.1105,0.0995,1.0152,1.0028,1.003,31,,
South Slave (Hay River Lowlands),2006,,0.9,0.182,0.091,0.0834,0.9901,0.9819,0.982,30,,
South Slave (Hay River Lowlands),2007,,0.857,0.156,0.078,0.0724,0.9295,0.9238,0.924,28,,
South Slave (Hay River Lowlands),2008,,0.843,0.219,0.1095,0.0987,0.9467,0.9353,0.936,33,,
South Slave (Hay River Lowlands),2009,,0.914,0.19,0.095,0.0868,1.0099,1.0008,1.001,37,,
South Slave (Hay River Lowlands),2010,,0.843,0.5,0.25,0.2,1.124,1.0538,1.054,31,,
South Slave (Hay River Lowlands),2011,,NA,0.254,0.127,0.1127,#VALUE!,#VALUE!,,17,,
South Slave (Hay River Lowlands),2012,,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,8,,
South Slave (Hay River Lowlands),2013,,NA,0.274,0.137,0.1205,#VALUE!,#VALUE!,,,34,167
South Slave (Hay River Lowlands),2014,,0.659,0.206,0.103,0.0934,0.7347,0.7269,,30,26,126
South Slave (Hay River Lowlands),2015,,0.864,0.381,0.1905,0.16,1.0676,1.0288,,30,43,268
South Slave (Hay River Lowlands),2016,,0.758,0.412,0.206,0.1708,0.9544,0.9139,,34,35,185
South Slave (Hay River Lowlands),2017,,0.904,0.311,0.1556,0.1346,1.0705,1.0446,,32,38,240
South Slave (Hay River Lowlands),2018,,0.909,0.359,0.1796,0.1522,1.1081,1.0724,,33,35,203
South Slave (Pine Point/Buffalo Lake),2017,,0.962,0.362,0.181,0.1533,1.174,1.1356,,11,35,218
South Slave (Pine Point/Buffalo Lake),2018,,0.958,0.266,0.133,0.1174,1.1053,1.0858,,25,31,219
South Slave (Mackenzie),2017,,0.917,0.407,0.2037,0.1692,1.1512,1.1034,,12,26,99
South Slave (Mackenzie),2018,,0.893,0.336,0.168,0.1438,1.0733,1.043,,28,22,108
South Decho,2006,,0.625,0.2587,0.1294,0.1145,0.7179,0.7058,0.7179,15,16,94
South Decho,2007,,0.6429,0.2616,0.1308,0.1157,0.7396,0.727,0.7396,19,21,107
South Decho,2008,,0.9412,0.2584,0.1292,0.1144,1.0808,1.0628,1.0808,20,25,130
